id,antecedent_name,consequent_name,creator_id,forum_topic_id,status,created_at,updated_at,approver_id,forum_post_id,reason
8153,"1girls","1girl",1309,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","","forum #14788"
33730,"sole_female","1girl",52664,17325,"deleted","2021-05-20T10:48:18.797+08:00","2021-05-22T06:49:13.975+08:00",52664,"",""
1452,"high_res","highres",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
18683,"high_resolution","highres",52664,17325,"active","2020-09-03T02:34:15.019+08:00","2020-09-03T02:34:20.508+08:00",52664,"",""
553,"hires","highres",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
18738,"female_solo","solo",52664,17325,"deleted","2020-09-04T06:08:11.751+08:00","2025-03-24T17:35:04.949+08:00",52664,"",""
18737,"solo_female","solo",52664,17325,"deleted","2020-09-04T06:08:11.717+08:00","2021-07-10T06:49:59.736+08:00",52664,"",""
2263,"/lh","long_hair",20663,"","deleted","2013-02-16T16:41:57.113+08:00","2020-12-21T11:51:38.534+08:00","","","Now the problem is that /sh is already aliased to suzumiya_haruhi"
588,"longhair","long_hair",1,"","deleted","2013-02-16T16:41:57.113+08:00","2020-08-28T16:14:06.402+08:00","","",""
2065,"/b","breasts",20663,"","deleted","2013-02-16T16:41:57.113+08:00","2020-12-21T11:51:38.292+08:00","","",""
499,"boobs","breasts",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
648,"breast","breasts",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
1531,"breats","breasts",1,"","deleted","2013-02-16T16:41:57.113+08:00","2021-04-10T13:49:19.540+08:00","","",""
501,"oppai","breasts",1,"","deleted","2013-02-16T16:41:57.113+08:00","2021-07-12T13:53:13.818+08:00","","",""
500,"tits","breasts",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
8340,"/lav","looking_at_viewer",1309,"","deleted","2013-02-16T16:41:57.113+08:00","2020-12-21T11:51:38.524+08:00","","",""
8341,"/pec","looking_at_viewer",1309,"","deleted","2013-02-16T16:41:57.113+08:00","2021-05-01T11:07:13.565+08:00","","",""
12616,"pov_eye_contact","looking_at_viewer",1309,11212,"deleted","2014-12-24T10:20:32.193+08:00","2022-09-05T14:26:46.779+08:00","","",""
11072,"/com","commentary_request",1309,"","deleted","2013-07-13T14:57:51.232+08:00","2021-07-10T08:16:31.102+08:00","","",""
942,"blushing","blush",1,"","active","2013-02-16T16:41:57.113+08:00","2013-02-16T16:42:11.518+08:00","","",""
